Fecha,CodigoPlanta,TipoGeneracion,TipoClasificacion,TipoDespachoRecurso,GeneracionRealEstimada kWh,GeneracionProgramadaDespacho kWh,GeneracionProgramadaRedespacho kWh
2013-02-04,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,8476881.0,8476881.0,9484520.0
2013-02-04,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3377700.0,3377700.0,3480000.0
2013-02-04,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,10803899.0,10803899.0,11120000.0
2013-02-04,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-02-03,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3394440.0,3394440.0,3480000.0
2013-02-03,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13387262.0,13387262.0,13440000.0
2013-02-03,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1176453.25,1176453.25,1211000.0
2013-02-03,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,189520.02,189520.02,191060.0
2013-02-02,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3391140.0,3391140.0,3480000.0
2013-02-02,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13425029.0,13425029.0,13440000.0
2013-02-02,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,2252975.25,2252975.25,2642000.0
